frame,x,y,visible
197,-1,-1,0
198,1247,477,1
199,1262,496,1
200,1276,519,1
201,1257,506,1
202,1263,521,1
203,-1,-1,0
204,-1,-1,0
205,1250,483,1
206,-1,-1,0
207,-1,-1,0
208,-1,-1,0
209,1264,435,1
210,1285,419,1
211,-1,-1,0
212,1336,436,1
213,1361,459,1
214,1380,444,1
215,1392,442,1
216,1405,442,1
217,1418,443,1
218,1428,445,1
219,1443,450,1
220,1456,455,1
221,1471,464,1
222,1484,474,1
223,1496,484,1
224,-1,-1,0
225,-1,-1,0
226,1516,507,1
227,1535,530,1
228,1552,549,1
229,1560,550,1
230,1565,546,1
231,1571,542,1
232,1577,540,1
233,1584,539,1
234,1591,540,1
235,1596,543,1
236,1601,548,1
237,1605,553,1
238,1611,558,1
239,1617,561,1
240,1624,562,1
241,1629,563,1
242,1634,564,1
243,1640,565,1
244,1646,565,1
245,1652,567,1
246,1658,567,1
247,1662,568,1
248,1667,568,1
249,1671,569,1
250,1677,569,1
251,-1,-1,0
252,-1,-1,0
253,-1,-1,0
254,-1,-1,0
255,-1,-1,0
256,-1,-1,0
257,-1,-1,0
258,-1,-1,0
259,-1,-1,0
260,-1,-1,0
261,-1,-1,0
262,-1,-1,0
263,-1,-1,0
264,-1,-1,0
265,1697,570,1
266,1716,572,1
267,1734,573,1
268,1739,574,1
269,1743,574,1
270,1746,575,1
271,1748,575,1
272,1751,575,1
273,1755,575,1
274,1757,575,1
275,1758,576,1
276,1759,577,1
277,1761,577,1
278,1763,577,1
279,1766,578,1
280,1770,578,1
281,1774,579,1
282,1777,579,1
283,1779,579,1
284,1781,579,1
285,1783,579,1
286,1784,580,1
287,1784,580,1
288,1785,580,1
289,1785,580,1
290,1786,580,1
291,1787,580,1
292,-1,-1,0
293,-1,-1,0
294,1791,580,1
295,1795,581,1
296,1798,581,1
297,1799,581,1
298,1800,581,1
299,1801,581,1
300,1802,581,1
301,1803,581,1
302,1804,581,1
303,1804,582,1
304,1804,582,1
305,1804,582,1
306,1804,582,1
307,1805,582,1
308,1806,583,1
309,1807,583,1
310,1807,583,1
311,1808,583,1
312,1809,584,1
313,1810,584,1
314,1809,583,1
315,1809,583,1
316,1808,583,1
317,1808,583,1
318,1807,584,1
319,1807,584,1
320,1806,584,1
321,1806,584,1
322,1805,584,1
323,1805,584,1
324,1805,585,1
325,1805,585,1
326,1805,585,1
327,1805,584,1
328,1805,584,1
329,1805,584,1
330,1806,584,1
331,1806,583,1
332,1807,583,1
333,1807,583,1
334,1807,583,1
335,1807,583,1
336,1807,583,1
337,1806,583,1
338,1806,583,1
339,1805,583,1
340,1805,583,1
341,1805,584,1
342,1805,584,1
343,1805,583,1
344,1805,583,1
345,1806,583,1
346,1806,583,1
347,1807,584,1
348,1807,584,1
349,1807,584,1
350,1807,584,1
351,-1,-1,0
352,-1,-1,0
353,1807,584,1
354,1807,584,1
355,1807,584,1
356,1807,584,1
357,1807,584,1
358,1807,584,1
359,1806,583,1
360,1806,583,1
